Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS2A02G310300,62,28,34,34
TraesCS1A02G091500,37,3,34,34
TraesCS2B02G327300,30,17,13,13
TraesCS2D02G308600,23,11,12,12
TraesCS1D02G100100,3,2,1,1
TraesCS1B02G119300,3,1,2,2
TraesCS7B02G018600,1,0,1,1
TraesCS5D02G404500,1,3,-2,2
TraesCS5A02G395200,1,4,-3,3
TraesCS7B02G183300,1,1,0,0
TraesCS7A02G287400,1,2,-1,1
TraesCS2D02G290800,1,2,-1,1
TraesCS6A02G307800,1,1,0,0
TraesCS7A02G070100,1,5,-4,4
TraesCS7A02G120300,1,1,0,0
TraesCS2B02G309500,1,2,-1,1
TraesCS7D02G117800,1,1,0,0
TraesCS7D02G284900,1,1,0,0
TraesCS2A02G159300,1,1,0,0
TraesCS5B02G400000,1,1,0,0
TraesCS2A02G293400,0,2,-2,2
