Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS3B02G435500,54,33,21,21
TraesCS1B02G264900,14,3,11,11
TraesCS2D02G369800,7,6,1,1
TraesCS7A02G549100,7,0,7,7
TraesCS2A02G032500,7,1,6,6
TraesCS1D02G375600,7,6,1,1
TraesCS7B02G248500,6,1,5,5
TraesCS1A02G253400,6,5,1,1
TraesCS3B02G291700,5,2,3,3
TraesCS7B02G472500,5,0,5,5
TraesCS6A02G392000,4,1,3,3
TraesCS4A02G110600,3,1,2,2
TraesCS2D02G561700,3,1,2,2
TraesCS7D02G535400,3,0,3,3
TraesCS1D02G252900,2,6,-4,4
TraesCS4D02G142600,2,1,1,1
TraesCS5B02G401700,2,0,2,2
TraesCS3D02G201300,2,0,2,2
TraesCS6D02G090900,2,0,2,2
TraesCS1B02G287500,2,2,0,0
TraesCS4D02G021400,1,0,1,1
TraesCS1B02G480100,0,1,-1,1
TraesCS5D02G432700,0,1,-1,1
TraesCS6D02G147400,0,0,0,0
TraesCS2A02G268800,0,0,0,0
TraesCS4B02G321100,0,0,0,0
TraesCS5B02G228300,0,1,-1,1
TraesCS6A02G158100,0,0,0,0
TraesCS5B02G118300,0,0,0,0
TraesCS2D02G267800,0,0,0,0
TraesCS6D02G189300,0,0,0,0
TraesCS6B02G186700,0,1,-1,1
TraesCS3D02G119600,0,1,-1,1
TraesCS4B02G144000,0,2,-2,2
TraesCS2B02G352000,0,1,-1,1
TraesCS4B02G129700,0,0,0,0
TraesCS4B02G373600,0,0,0,0
TraesCS6D02G197800,0,1,-1,1
TraesCS5D02G406400,0,0,0,0
TraesCS3A02G366400,0,0,0,0
