Gene_name,TAM111,TAM112,diff,abs_diff
TraesCS3B02G378600,4,21,-17,17
TraesCS5B02G208100,0,4,-4,4
TraesCS6B02G261700,0,3,-3,3
TraesCS5A02G307200,1,3,-2,2
TraesCS2D02G272400,0,1,-1,1
TraesCS5D02G238800,0,1,-1,1
TraesCS2A02G545700,0,0,0,0
TraesCS5A02G210100,1,1,0,0
TraesCS4B02G106700,0,0,0,0
TraesCS3A02G528800,0,0,0,0
TraesCS4A02G252900,0,0,0,0
TraesCS5A02G228900,1,0,1,1
TraesCS2D02G546600,1,0,1,1
TraesCS3B02G597800,1,0,1,1
TraesCS5B02G329400,1,0,1,1
TraesCS6A02G145800,1,0,1,1
TraesCS2A02G489700,1,0,1,1
TraesCS2D02G135700,3,2,1,1
TraesCS1D02G429600,2,0,2,2
TraesCS3A02G528900,3,0,3,3
TraesCS2B02G576300,4,0,4,4
TraesCS5D02G440100,10,2,8,8
